KEY,Deutsch,English,TraditionalChinese,Polish
24rd,24rd,24rd,24rd,dwudziesta czwarta
WordFromDeveloper,"Ein Wort vom Entwickler.","A word from developer.","開發者的隻字片語","Słowo od dewelopera."
AcknowledgeMarcus,"Diese App wurde entwickelt, als ich Deutsch lernte. Ich mache keine Einnahmen daraus. Fühlen Sie sich frei zu verwenden und lassen Sie mich wissen, wenn es Fehler hat. Für den deutschen Teil vielen danke an Marcus Breit und Paula Kersten für die Beratung.","This app was developed as I learning German. I don't revenue from it. Feel free to use and please let me know when it has bug. As for the part of German, acknowledge to lecturers Marcus Breit and Paula Kersten for the consultation.","這個應用程式是開發者學習德語的作品。目前並沒有營利。如果有發現任何錯誤，歡迎讓我知道。非常感謝德語諮詢：Marcus Breit，Paula Kerste。","Ta aplikacja została opracowana, gdy uczyłem się niemieckiego. Nie czerpię z niej żadnych dochodów. Możesz swobodnie korzystać i daj mi znać, gdy pojawi się błąd. Jeśli chodzi o część niemiecką, dziękuję wykładowcom Marcusowi Breitowi i Pauli Kersten za konsultację."
LocationIntroductionContent,"Die App verfügt über zwei Modi, einem Übungsmodus und einem Testmodus. Der Übungsmodus stellt die verschiedenen Richtungsangaben vor. Durch Auf- und Abschieben werden verschiedene Bilder und die dazugehörige Richtungsangabe sichtbar.\n\nHinweis:\n\nDiese App sollte am besten als Ergänzung im Rahmen eines Deutschunterrichtes benutzt werden.Sie hilft dir dabei die Richtungsangaben auf Deutsch zu lernen.","The user may slide and see the correct expression of each location in answer mode, and then test them on test mode.\n\nAdvice: \n\nThis app is best used as an addition in a real german class or tutoring. \n\nIt provides you an assistance to properly practice the german location expression.","請了解關於地點的表示方式，然後測試自己的能力。建議：使用這個軟體搭配德文課程學習地點的表達方式。","Użytkownik może przesuwać i zobaczyć prawidłowe wyrażenie każdej lokalizacji w trybie odpowiedzi, a następnie przetestować je w trybie testowym.\n\nPorada:\n\nTa aplikacja najlepiej sprawdza się jako dodatek w prawdziwych zajęciach z języka niemieckiego lub korepetycjach.\n\nZapewnia pomoc w prawidłowym ćwiczeniu wyrażenia lokalizacji."
LocationKey_Straight,immer geradeaus gehen,go straight,直走,idź prosto
LocationKey_AlongRiver,<das Flussufer> entlang,along <the river>,沿著<河流>,along <the river>
LocationKey_Bridge,über <die Brücke>,over <the bridge>,過 <橋>,over <die Brucke>
LocationKey_CrossStreet,gegenüber <der Kirche> (Dativ),the opposite side of <the church>,在 <教堂> 對面,the opposite side of <the church>
LocationKey_Intersection,bis zur <Kreuzung>,until <the intersection>,到 <十字路口>,until <the intersection>
LocationKey_Pass,an <etwas> vorbei gehen,go pass <...> ,行經 <...> ,go pass <...> 
LocationKey_RoundAbout,um <den Kreisverkehr> herum,arround <the roundabout>,繞行 <圓環>,arround <the roundabout>
LocationKey_Through,durch <den Park> gehen,go through <the park>,穿越 <公園> ,go through <the park>
LocationKey_TurnLeft,links abbiegen,turn left,左轉,turn left
LocationKey_TurnRight,rechts abbiegen,turn right,右轉,turn right
LocationKey_ThroughInterception,über <die Kreuzung> fahren,drive through <the intersection>,穿越 <十字路口>,drive through <the intersection>
ExampleShort,z.B.,ex.,例,np.
ExampleLong,zum Beispiel,Example,例句,Na przykład
ExampleSentence_Straight,Bitte gehe immer geradeaus.\nGehe immer geradeaus.,Please go straight.,請直走。,Proszę idź prosto.
ExampleSentence_AlongRiver,Ich gehe das Flussufer entlang.\nGehe das Flussufer entlang.,I walk along the river.\nGo along the river.,我沿著河流走。\n沿著河流走。,Idę wzdłuż rzeki.\nProszę idź wzdłuż rzeki.
ExampleSentence_Bridge,Ich gehe über die Brücke.\nFahre über die Brücke.,I walk over the bridge.\nDrive over the bridge.,我走過橋。\n開過橋。,I walk over the bridge.\nProszę przejedź skrzyżowanie.
ExampleSentence_CrossStreet,Das Auto steht gegenüber der Kirche. (Dativ Satz)\nDie Post ist gegenüber der Kirche. (Dativ Satz),The car stands at the oppsite side of the church.\nThe post ist at the opposite side of the church.,汽車就在教堂的對面。\n郵局就在教堂的對面。,The car stands at the oppsite side of the church.\nThe post ist at the opposite side of the church.
ExampleSentence_Intersection,Fahre bis zur Kreuzung.,Drive until the intersection.,開到十字路口。,Drive until the intersection.
ExampleSentence_Pass,Ich gehe am Park vorbei. (Dativ Satz)\nGehe am Park vorbei. (Dativ Satz)\nGehe an der Post vorbei. (Dativ Satz),I go pass the park.\nGo pass the park.\nGo pass the post.,我行經公園。經過公園。經過郵局。,I go pass the park.\nGo pass the park.\nGo pass the post.
ExampleSentence_RoundAbout,Ich fahre um den Kreisverkehr herum.,I drive arond the roundabout.,我繞著圓環開。,I drive arond the roundabout.
ExampleSentence_Through,Gehe durch den Wald.\nGehe durch das Stadtzentrum.\nGehe durch den Park.,Go through the forest.\nGo through the city center.\nGo through the park.,穿越這片樹林。\n穿越城市廣場。\n穿越公園。,Go through the forest.\nGo through the city center.\nGo through the park.
ExampleSentence_TurnLeft,In Straße biegst du links ab.\nEr ist an der Ampel links abgebogen.\nAn der Ampel ist er links abgebogen.,You turn left at street.\nHe turned left until the signal.,在街口左轉。\n他在紅綠燈左轉。,You turn left at street.\nHe turned left until the signal.
ExampleSentence_TurnRight,Biegen Sie dort rechts ab.\nAn der Kreuzung ist er rechts abgebogen.\nBiege an der Kreuzung rechts ab.\nBiegen Sie an der Kreuzung rechts ab.\nBiege an der Ampel links ab.,Turn right here.\nHe turned right at the intersection.,在那裏右轉。他到十字路口右轉。,Turn right here.\nHe turned right at the intersection.
ExampleSentence_ThroughInterception,Fahre über die Kreuzung.,Drive through the intersection.,開過十字路口,Drive through the intersection.
ClockExampleKey_0,Ich fahre um <time> ins Büro.,I drive to office at <time>.,我在<time>到辦公室。,Jadę do biura <otime>.
ClockExampleKey_1,Wir essen Mittagessen um <time>.,We eat lunch at <time>.,我們在<time>吃午餐。,Jemy obiad <otime>.
ClockExampleKey_2,Er kauft um <time> ein.,He do grocery at <time>.,他在<time>購物。,Idzie na zakupy <otime>.
ClockExampleKey_3,Sie gehen um <time> ins Kino.,They will watch movie at <time>.,他們在<time>要去看電影。,Zamierzają obejrzeć film <otime>.
ClockExampleKey_4,Ich gehe um <time> zum Sport.,I go sport at <time>.,我在<time>去運動。,Ćwiczę <otime>.
ClockExampleKey_5,Wir treffen uns um <time>.,We meet at <time>.,我們在<time>見。,Spotykamy <otime>.
ClockExampleKey_6,Heute fliege ich um <time> ab.,Today I depart at <time>.,今天我飛機<time>飛。,Wyjeżdżam dzisiaj <otime>.
ClockExampleKey_7,Wir kommen um <time> an.,We come at <time>.,我們會在<time>到。,Przychodzimy <otime>.
ClockExampleKey_8,Kannst du mich um <time> abholen?,Can you pick me up at <time>.,你能在<time>接我嗎？,Czy możesz mnie podwieźć dzisiaj <otime>.
ClockExampleKey_9,Hast du heute um <time> Zeit?,Do you have time today at <time>.,你今天<time>有空嗎？,Czy masz czas dzisiaj <otime>.
WhereIntroductionContent,"Der Benutzer sieht im Übungsmodus die richtigen Ortsangaben, z.Bsp.: 'Der Fußball ist neben dem Regal'. Im Testmodus kann der Benutzer den Fußball, gemäß der Anweisung, an die richtige Stelle bewegen.\n\nHinweis:\n\nDiese App sollte am besten als Ergänzung zu einem Deutschunterricht benutzt werden. Sie hilft dir dabei die Ortsangaben auf Deutsch zu lernen.","The user may see the correct expression of “…. is at ...' in the answer mode, and then in the touch mode, try to move the target to the correct position according to the instruction.\n\nAdvice: \n\nThis app is best used as an addition to a real language class or tutoring.","請了解關於位置的表示方式，然後測試自己的能力。建議：使用這個軟體搭配語言課程學習位置的表達方式。","Użytkownik może zobaczyć prawidłowe wyrażenie „…. is at ...” w trybie odpowiedzi, a następnie w trybie dotykowym spróbować przesunąć cel do właściwej pozycji zgodnie z instrukcją.\n\nPorada:\n\nTa aplikacja najlepiej sprawdza się jako dodatek do prawdziwych zajęć językowych lub korepetycji."
WhereNextButton,Nächste,Next,下一個,następny
WhereTarget_Fussball,der Fußball,the soccer,足球,piłka
WhereScene_Desk,der Tisch,the desk,桌子,biurko
WhereScene_Shelf,das Regal,the shelf,架子,półka
WhereScene_Cabinet,der Schrank,the cabinet,櫃子,szafka
WhereScene_Television,der Fernseher,the TV,電視,telewizor
Desk_instrumental,(NONE),(NONE),(NONE),biurkiem
Shelf_instrumental,(NONE),(NONE),(NONE),półką
Cabinet_instrumental,(NONE),(NONE),(NONE),szafką
Television_instrumental,(NONE),(NONE),(NONE),telewizorem
Desk_dative,(NONE),(NONE),(NONE),biurku
Shelf_dative,(NONE),(NONE),(NONE),półce
Cabinet_dative,(NONE),(NONE),(NONE),szafce
Television_dative,(NONE),(NONE),(NONE),telewizorowi
Desk_genitive,(NONE),(NONE),(NONE),biurka
Shelf_genitive,(NONE),(NONE),(NONE),półki
Cabinet_genitive,(NONE),(NONE),(NONE),szafki
Television_genitive,(NONE),(NONE),(NONE),telewizora
WhereKey_Uber,<target> ist über <scene>.(Dativ),<target> is above <scene>.,<target>在<scene>上方。,<target> jest nad <scene>.
WhereKey_Auf,<target> ist auf <scene>.(Dativ),<target> is on <scene>.,<target>在<scene>上面。,<target> jest na <scene>.
WhereKey_Unter,<target> ist unter <scene>.(Dativ),<target> is below <scene>.,<target>在<scene>下方。,<target> jest pod <scene>.
WhereKey_Vor,<target> ist vor <scene>.(Dativ),<target> is in front of <scene>.,<target>在<scene>前面。,<target> jest przed <scene>.
WhereKey_Hinter,<target> ist hinter <scene>.(Dativ),<target> is behind <scene>.,<target>在<scene>後面。,<target> jest za <scene>.
WhereKey_Neben,<target> ist neben <scene>.(Dativ),<target> is next to <scene>.,<target>在<scene>旁邊。,<target> jest obok <scene>.
WhereKey_An,<target> ist an <scene>.(Dativ),<target> is at side of <scene>.,<target>靠在<scene>旁邊。,<target> jest przy <scene>.
WhereKey_In,<target> ist in <scene>.(Dativ),<target> is in <scene>.,<target>在<scene>裡面。,<target> jest w <scene>.
WhereKey_Zwischen,<target> ist zwischen <scene> und <reference>.(Dativ),<target> is between <scene> and <reference>.,<target>在<scene>與<reference>之間。,<target> jest pomiędzy <scene> a <reference>.
WhereInstruction_Uber,Bitte legen Sie <target> über <scene>.(Akkusativ),Please put <target> on <scene>.,請把<target>放在<scene>上面。,Proszę połóż <obiekt> nad <lokalizacja>.
WhereInstruction_Auf,Bitte legen Sie <target> auf <scene>.(Akkusativ),Please put <target> above <scene>.,請把<target>放在<scene>上方。,Proszę połóż <obiekt> na <lokalizacja>.
WhereInstruction_Unter,Bitte legen Sie <target> unter <scene>.(Akkusativ),Please put <target> below <scene>.,請把<target>放在<scene>下方。,Proszę połóż <obiekt> pod <lokalizacja>.
WhereInstruction_Vor,Bitte legen Sie <target> vor <scene>.(Akkusativ),Please put <target> in front of <scene>.,請把<target>放在<scene>前面。,Proszę połóż <obiekt> przed <lokalizacja>.
WhereInstruction_Hinter,Bitte legen Sie <target> hinter <scene>.(Akkusativ),Please put <target> behind <scene>.,請把<target>放在<scene>後面。,Proszę połóż <obiekt> za <lokalizacja>.
WhereInstruction_Neben,Bitte legen Sie <target> rechts neben <scene>.(Akkusativ),Please put <target> next to <scene>.,請把<target>放在<scene>旁邊。,Proszę połóż <obiekt> obok <lokalizacja>.
WhereInstruction_An,Bitte legen Sie <target> an <scene>.(Akkusativ),Please put <target> at side of <scene>.,請把<target>靠在<scene>旁邊。,Proszę połóż <obiekt> przy <lokalizacja>.
WhereInstruction_In,Bitte legen Sie <target> in <scene>.(Akkusativ),Please put <target> in <scene>.,請把<target>放在<scene>裡面。,Proszę połóż <obiekt> w <lokalizacja>.
WhereInstruction_Zwischen,Bitte legen Sie <target> zwischen <scene> und <reference>.(Akkusativ),Please put <target> between <scene> and <reference>.,請把<target>放在<scene>與<reference>之間。,Proszę połóż <obiekt> pomiędzy <lokalizacja> a <odniesienie>.
WhereExample_Uber,Die Lampe hängt über dem Tisch.\nDas Bild hängt über dem Fernseher.,The lamp is above the desk.\nThe picture hangs above the television.,燈在桌子上。\n照片掛在電視上方。,Lampa jest nad biurkiem.\nObraz wisi nad telewizorem.
WhereExample_Auf,Die Katze schläft auf dem Bett.\nDas Buch liegt auf dem Tisch.,The cat is on the car.\nThe book lays on the desk.,貓在車子上。\n書本躺在桌子上。,Kot jest na samochodzie.\nKsiążka jest na biurku.
WhereExample_Unter,Der Hund ist unter dem Tisch.\nDer Stift liegt unter dem Buch.,The dog is under the desk.\nThe pen lays under the book.,狗在桌子下。\n筆在書本下。,Pies jest pod biurkiem.\nDługopis jest pod książką.
WhereExample_Vor,Der Tisch ist vor dem Schrank.\nDas Kind sitzt vor dem Fernseher.,The desk is in the front of the cabinet.\nThe bird stands in the front of the chair.,桌子在櫃子前面。\n鳥站在椅子前面。,Biurko jest przed szafką.\nPtak jest przed krzesłem.
WhereExample_Hinter,Die Katze liegt hinter dem Sofa.\nDas Regal steht hinter dem Stuhl.,The cat is behind the sofa.\nThe shelf stands behind the chair.,貓在沙發後面。\n架子站在椅子後面。,Kot jest za sofą.\nPółka jest za krzesłem.
WhereExample_Neben,Die Lampe ist neben dem Bett.\nDie Möbel stehen neben der Tür.,The dog is next to the cat.\nThe forniture stand next to the door.,狗在貓旁邊。\n家具在門旁邊。,Pies jest obok kota.\nMeble są obok drzwi.
WhereExample_An,Die Lampe hängt an der Decke.\nDer Tisch steht an der Wand.,The lamp is under the ceil.\nThe table is against the wall.,燈在天花板。\n桌子靠在牆邊。,Lampa jest pod sufitem.\nStół stoi przy ścianie.
WhereExample_In,Der Müll ist im Korb.\nDas Handy steckt in der Tasche.,The trash is in the basket.\nThe cellphone sticks in the bag.,垃圾在籃子裡。\n手機插在包包裡。,Śmieci są w koszu.\nTelefon komórkowy jest w torbie.
WhereExample_Zwischen,Das Geld fällt zwischen die Schränke.(Akkusativ)\nDas Geld liegt zwischen den Schränken.(Dativ)\nDer Schreibtisch steht zwischen dem Schrank und dem Bett.,The money falls between cabinets.\nThe money lies between cabinets.\nThe dog is between the cat and the bird.,錢掉在櫃子間。\n錢在櫃子間。\n狗在貓跟鳥之間。,Pieniądze spadają między szafkami.\nPieniądze są między szafkami.\nPies jest między kotem a ptakiem..
TeacherSettingTitle,Anpassen,Customize,設定模式,Dostosuj
TeacherSettingConfirm,bestätigen,Confirm,確認,Potwierdzać
TeacherSettingSubjectLabel,Subjekt,Subject,主詞,Obiekt
TeacherSettingWoLabel,Ortsangaben,Loccation,位置關係,Lokalizacja
Title.Theme.Time,Zeit,Time,時間,Godziny
Title.Theme.Direction,Richtung ,Direction,方向指引,Kierunkami
Title.Theme.Location,Ort,Location,位置指引,Lokalizacja
CrossPlay.Title,Weitere App vom Entwickler,More Games From Developer,開發者其他遊戲,Więcej gier tego autora
CrossPlay.ReallyReally,Really Really,Really Really,真的,Really Really
CrossPlay.VillageTactics,Dörfer & Tactics,Villages & Tactics,村莊蓋出去，野獸進不來,Władca Osady
CrossPlay.BarbarianCivilization,Barbarische Zivilisation.,Barbarian Civilization,文明傳出去，蠻族進不來,Cywilizacja barbarzyńska
Introduction.Clock,"Versuchen Sie, die Uhrzeiger zu drehen.","Try rotating the clock hands.","請控制旋轉指針。","Spróbuj obrócić zegar."
Introduction.Location,"Den Ausdruck des Ortes verstehen.","Understand the expresstion of location.","方向的表示。","słownictwo związane z kierunkami"
Introduction.Where,"Ausdruck des Findens eines Objekts.","Expression of finding object.","位置的表示。","słownictwo związane z odnajdywaniem przedmiotów"
Body.Head,der Kopf,Head,頭,Głowa
Body.Neck,der Hals,Neck,頸,Szyja
Body.Chest,die Brust,Chest,胸,Klatka piersiowa
Body.Belly,der Bauch,Belly,腹(肚子),Brzuch
Body.Shoulder,die Schulter,Shoulder,肩(肩膀),Bark
Body.Arm,der Arm,Arm,臂(手臂),Ramię
Body.Hand,die Hand,Hand,手(手掌),Dłoń
Body.Leg,das Bein,Leg,腿(大腿/小腿),Noga
Body.Foot,der Fuß,Foot,足(腳掌),Stopa
Introduction.Body,"Bitte tippen Sie auf den Körperteil","Please tap on the body part","請點擊身體部位","Proszę dotknąć części ciała"
Body.IntroductionContent,"Erfahren Sie mehr über Körperteile und testen Sie Ihr Verständnis. Empfehlung: Nutzen Sie diese App ergänzend zu einem Sprachkurs, um Begriffe zu Körperteilen zu lernen.","Learn about body parts and test your understanding. Recommendation: Use this app alongside a language course to learn body part terms.","請了解關於身體部位，然後測試自己對身體部位的理解。建議：使用這個軟體搭配語言課程學習身體部位的說法。","Poznaj części ciała i sprawdź swoją wiedzę. Zalecenie: Używaj tej aplikacji w połączeniu z kursem językowym, aby nauczyć się terminów związanych z częściami ciała."
Body.QuestionOnAnswerFmt,"Bitte tippen Sie auf den Teil von {0}","Please tap on the part of {0}",“請點擊 {0} 的部位”,"Proszę dotknąć części {0}"
BodyExample.Head,"Der Mensch hat nur einen Kopf.\n","Human has only one head.\n","人類只有一個頭。\n","Człowiek ma tylko jedną głowę.\n"
BodyExample.Neck,"Der Hals verbindet die Brust mit dem Kopf.\n","Neck connects chest with the head.\n","脖子連接胸部和頭。\n","Szyja łączy klatkę piersiową z głową.\n"
BodyExample.Chest,"Die Brust schützt wichtige Organe.\n","Chest protects important organs.\n","胸部保護重要的器官。\n","Klatka piersiowa chroni ważne organy.\n"
BodyExample.Belly,"Der Bauch lagert Fett ohne ausreichende Bewegung.\n","Belly stacks fat without proper exercise.\n","腹部在缺乏運動時堆積脂肪。\n","Brzuch odkłada tłuszcz bez odpowiednich ćwiczeń.\n"
BodyExample.Shoulder,"Die Polizisten zucken mit den Schultern, um keinen Kommentar abzugeben.\n","The police officers shrug their shoulders to give no comment.\n","警察聳聳肩膀表示不予置評。\n","Policjanci wzruszają ramionami, aby nie komentować.\n"
BodyExample.Arm,"Die Reisenden winken mit den Armen, um einen Bus anzuhalten.\n","The travellers wave their arms to stop a bus.\n","旅客揮動手臂攔下一輛公車。\n","Podróżni machają rękami, aby zatrzymać autobus.\n"
BodyExample.Hand,"Dieses Paar hält beim Gehen Händchen.\n","This couple holds hands while walking.\n","這對情侶邊走邊牽著手。\n","Ta para trzyma się za ręce podczas spaceru.\n"
BodyExample.Leg,"Diese Reisenden strecken in einem kleinen Zugabteil die Beine aus.\n","These travellers stretch legs in a small cabin.\n","這些旅客在小小的艙內伸展雙腿。\n","Ci podróżni prostują nogi w małej kabinie.\n"
BodyExample.Foot,"Schuhe werden benutzt, um die Füße vor scharfen Gegenständen auf der Straße zu schützen.\n","Shoes are used to protect feet from sharp objects on the street.\n","鞋子用來保護腳掌避免被路上的尖銳物刺傷。\n","Buty służą do ochrony stóp przed ostrymi przedmiotami na ulicy.\n"
Title.Theme.Body,Körperteil,Body Part,身體部位,Części ciała
CrossPlay.SecInc,S.E.C. Inc.,S.E.C. Inc.,打怪特勤隊,S.E.C. Inc.
CrossPlay.FantasyLogistics,Fantasy Courier,Fantasy Courier,異世界物流士,Fantasy Courier
TitleRateMePanel.Description,"Diese App ist kostenlos, aber die Entwicklung nimmt meine Zeit in Anspruch. Ich brauche Ihre Unterstützung. Bitte hinterlassen Sie eine Bewertung und teilen Sie mir Ihre Meinung mit.","This app is free but takes my time to develop. I need your support. Please leave review and let me know how you feel.","此應用程式免費提供但仍花費心力開發，一點評價與建議都能讓它更好。","Ta aplikacja jest darmowa, ale jej rozwój zajmuje mi dużo czasu. Potrzebuję Twojego wsparcia. Proszę, zostaw recenzję i daj mi znać, co o niej myślisz."
CommonButton.Confirm,Bestätigen,Confirm,確認,Potwierdzać
CommonButton.Close,Schließen,Close,關閉,Zamknąć
TitleRateMePanel.Title,Bewerten Sie uns,Rate Us,評價,Oceń nas
